име,град,balans-score,balans-verdict,balans-max-time,ball-score,ball-verdict,ball-max-time,beautiful-score,beautiful-verdict,beautiful-max-time,точки
EEI,София,0,Compilation error,N/A,0,Compilation error,N/A,23.529411764705884,OK OK OK OK RE RE RE RE RE RE RE RE RE RE RE WA RE,N/A,23.529411764705884
TMR,София,8.333333333333334,OK WA WA WA WA WA WA WA WA WA WA WA,0.052,12.0,WA WA WA WA WA WA WA OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL WA TL,N/A,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,20.333333333333336
VIA,Добрич,0,Compilation error,N/A,0,Compilation error,N/A,17.647058823529413,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,17.647058823529413
AMA,Бургас,16.666666666666668,WA WA WA WA WA WA WA WA OK WA OK WA,0.059,0.0,WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL WA WA WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,16.666666666666668
MMT,София,0,Compilation error,N/A,0,Compilation error,N/A,11.764705882352942,OK OK WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL,N/A,11.764705882352942
IIF,София,0.0,WA WA WA WA WA WA RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,11.764705882352942,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,11.764705882352942
TVV,Велико Търново,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,11.764705882352942,OK OK WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL,N/A,11.764705882352942
YIY,Велико Търново,0,Compilation error,N/A,0,Compilation error,N/A,5.882352941176471,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.882352941176471
HIB,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,5.882352941176471,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,5.882352941176471
SAA,София,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.882352941176471,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,5.882352941176471
AVV,Перник,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,4.0,WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,4.0
MKD,Русе,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
PND,Кърджали,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
PID,Велико Търново,0,Compilation error,N/A,0,Compilation error,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0
MVI,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
RDS,Бургас,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,0.0
API,Габрово,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
NGG,Перник,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
IIV,Русе,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
TIK,Плевен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
SCR,Ловеч,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0
SIS,Добрич,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.057,0,Compilation error,N/A,0,Compilation error,N/A,0.0
VAP,София,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
VCS,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
VSS,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
DTD,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.055,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,0.0
