име,град,congruence-score,congruence-verdict,congruence-max-time,range-score,range-verdict,range-max-time,strip-score,strip-verdict,strip-max-time,точки
MIM,София,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE TL TL,N/A,50.00000000000001,OK OK OK OK OK OK TL TL TL TL TL TL,N/A,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,88.8888888888889
VVB,Пловдив,23.529411764705884,OK OK OK OK TL TL RE TL RE TL TL RE TL TL TL TL TL,N/A,0.0,WA RE RE TL TL TL TL TL TL RE RE RE,N/A,55.555555555555564,OK OK OK OK WA OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,79.08496732026146
VTI,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,RE RE RE RE RE RE RE RE TL TL RE RE,N/A,72.22222222222223,OK OK OK OK OK OK OK OK OK OK WA OK OK WA WA WA OK WA,0.004,72.22222222222223
TSG,Шумен,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.00000000000001,OK OK WA OK OK OK OK WA OK WA WA OK WA WA WA WA OK WA,0.004,66.66666666666667
RKR,Габрово,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.312,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,61.11111111111112
DED,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,55.55555555555556
HMI,Бургас,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,55.55555555555556
AKA,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,50.00000000000001,OK OK OK OK OK OK TL TL TL TL TL TL,N/A,0,Compilation error,N/A,50.00000000000001
ADT,София,5.882352941176471,OK WA WA WA WA RE RE RE RE TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.254,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,44.771241830065364
MSI,Ловеч,0,Compilation error,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,11.11111111111111,WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,27.77777777777778
GPG,Ловеч,0,Compilation error,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,11.11111111111111,WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,27.77777777777778
YAA,София,0.0,WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE,N/A,25.0,OK OK OK TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,25.0
GIS,Кърджали,0,Compilation error,N/A,25.0,OK OK OK TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,25.0
KZT,Кърджали,0,Compilation error,N/A,25.0,OK OK OK TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,25.0
CSK,Ловеч,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,5.555555555555555,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,22.22222222222222
DYD,Велико Търново,0,Compilation error,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA TL TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,16.666666666666668
IVP,Благоевград,0,Compilation error,N/A,8.333333333333334,OK WA WA WA WA WA WA WA WA TL WA TL,N/A,5.555555555555555,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,13.88888888888889
MPP,Ловеч,0,Compilation error,N/A,0,Compilation error,N/A,11.11111111111111,WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,11.11111111111111
RRT,Кърджали,0,Compilation error,N/A,0.0,TL TL TL RE RE RE RE RE RE RE RE RE,N/A,11.11111111111111,WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,11.11111111111111
AMG,Варна,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL,N/A,11.11111111111111,WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,11.11111111111111
SAT,Перник,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0
PIC,София,0,Compilation error,N/A,0.0,WA WA WA WA TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA TL WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,0.0
GGR,Перник,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
KKS,Перник,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
