име,град,long-score,long-verdict,long-max-time,sdnf-score,sdnf-verdict,sdnf-max-time,solitaire-score,solitaire-verdict,solitaire-max-time,точки
MPP,Варна,9.090909090909092,WA OK WA WA WA WA WA WA WA WA WA,0.004,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,39.09090909090909
GIB,София,36.36363636363637,OK OK OK OK WA WA WA WA WA WA WA,0.004,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,36.36363636363637
MBD,София,18.181818181818183,OK OK WA WA WA WA WA WA WA WA WA,0.004,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,33.18181818181819
VGH,София,18.181818181818183,OK OK WA WA WA WA WA WA WA WA WA,0.005,15.0,OK OK OK TL TL TL TL WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,0,Compilation error,N/A,33.18181818181819
HDs,Шумен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.015,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,32.27272727272727
MRY,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,30.0
SIS,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.004,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,30.0
ADI,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,RE RE WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,27.272727272727273
EPP,Плевен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.006,0,Compilation error,N/A,0,Compilation error,N/A,27.272727272727273
JGD,Шумен,27.272727272727273,OK OK OK WA TL TL WA WA WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,27.272727272727273
RDG,Шумен,27.272727272727273,OK OK OK TL WA WA WA WA WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,27.272727272727273
MII,Плевен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,27.272727272727273
MMP,София,27.272727272727273,OK OK OK WA WA WA RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,27.272727272727273
DGB,Перник,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,25.0,OK OK WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,25.0
TSP,Плевен,9.090909090909092,OK WA WA WA TL TL WA WA WA WA WA,N/A,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,24.090909090909093
RLB,София,0,Compilation error,N/A,20.0,WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,20.0
VDV,Шумен,0,Compilation error,N/A,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,15.0
PRD,Варна,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,12.5,OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.014,12.5
DRT,София,9.090909090909092,WA WA OK WA WA WA WA WA WA WA WA,0.03,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,9.090909090909092
YPY,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA RE WA RE RE RE RE WA RE RE RE WA,N/A,5.0
VJI,София,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
ABH,Шумен,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VMM,Шумен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
KMB,Плевен,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
AAH,Шумен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
AIK,София,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0,Compilation error,N/A,0.0
ADD,Плевен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.002,0,Compilation error,N/A,0.0
LIK,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
MJJ,Шумен,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
