име,град,beautiful-score,beautiful-verdict,beautiful-max-time,flowers-score,flowers-verdict,flowers-max-time,sheep-score,sheep-verdict,sheep-max-time,точки
PIC,София,95.0,WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,95.0
EKT,Русе,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.108,0,Compilation error,N/A,0,Compilation error,N/A,95.0
AAQ,Пловдив,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.108,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,95.0
GDD,Варна,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.109,0,Compilation error,N/A,0,Compilation error,N/A,95.0
DIM,София,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.116,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,95.0
BIK,Габрово,95.0,WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,95.0
HKA,Варна,50.0,WA OK WA WA OK WA OK OK WA OK OK WA WA OK WA OK OK WA WA OK,0.005,45.0,OK OK OK WA WA OK WA OK WA WA OK WA OK OK OK WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,95.0
KDN,Пловдив,80.0,OK OK OK OK OK OK OK OK OK OK TL TL OK OK OK OK OK OK TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,10.0,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,90.0
DDD,Варна,75.0,OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA OK WA WA,0.101,15.0,WA WA OK WA WA WA WA WA WA WA OK WA WA WA OK WA WA WA WA WA,0.005,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,90.0
KZT,Кърджали,0,Compilation error,N/A,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.003,0,Compilation error,N/A,70.0
NSG,Пловдив,55.0,OK OK OK OK OK OK OK OK WA OK WA WA WA WA WA OK WA OK WA WA,0.045,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,60.0
YNP,Пловдив,45.0,OK OK OK OK OK OK OK OK WA OK WA WA WA WA WA WA WA WA WA WA,0.005,15.0,OK WA WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.01,60.0
RKR,Габрово,55.0,WA OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK WA OK WA WA,0.046,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,55.0
CSK,Ловеч,55.0,OK OK OK OK OK OK OK OK WA OK WA WA WA WA WA OK WA OK WA WA,0.045,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,55.0
AKI,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,50.0,OK OK OK WA WA WA OK OK WA WA OK WA OK OK OK WA OK WA WA WA,0.01,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,55.0
VTI,Варна,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.005,45.0,OK WA OK WA WA OK OK OK WA WA OK WA OK WA OK WA OK WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.011,50.0
GSY,Пловдив,50.0,OK WA OK OK WA OK WA WA OK WA WA OK OK WA OK WA WA OK OK WA,0.109,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,50.0
ACM,Видин,40.0,OK OK TL TL OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,40.0
