име,град,corridor-score,corridor-verdict,corridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,точки
NIY,София,12.5,OK WA WA WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.133,0,Compilation error,N/A,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.746,28.5
DGD,Ловеч,25.0,OK WA WA OK WA WA OK OK OK WA WA OK OK OK WA WA OK WA WA OK WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE,N/A,0,Compilation error,N/A,25.0
GVR,Плевен,0,Compilation error,N/A,0,Compilation error,N/A,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.416,16.0
HMT,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.029,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.009,16.0
IJG,Плевен,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.323,8.0,WA WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.009,13.0
GAH,Ловеч,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL,N/A,12.0,OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.529,12.0
AAM,Пловдив,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,12.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.219,12.0
TTP,Ловеч,0,Compilation error,N/A,0,Compilation error,N/A,8.0,OK WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.809,8.0
ANK,Варна,7.5,WA OK OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.089,0,Compilation error,N/A,7.5
BMM,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE TL TL TL TL,N/A,4.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.299,4.0
