name,city,korridor-score,korridor-verdict,korridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,score
NKM,VTarnovo,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,4.0,WA OK WA WA WA WA WA WA WA WA TL TL TL TL TL WA WA TL TL WA TL TL TL TL TL,N/A,4.0
VBK,Kjustendil,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL WA WA TL WA WA WA WA WA TL TL,N/A,0.0
JDD,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
BEV,Pleven,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL TL WA TL WA WA TL TL TL TL TL TL TL TL,N/A,0.0
ICS,Lovech,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
SNN,Pleven,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.149,0,Compilation error,N/A,0.0
VDG,Kjustendil,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
IGH,Samokov,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
ANK,Varna,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.093,0,Compilation error,N/A,0.0
ABI,Kjustendil,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
SAY,Blagoevgrad,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA,N/A,0.0
HKH,Varna,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
NAP,Sofia,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.506,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
DGD,Lovech,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
BGA,Samokov,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA TL WA TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
AGA,Pleven,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
ILC,Varna,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
BKN,Kjustendil,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,0.0
AVB,VTarnovo,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL WA WA WA WA WA WA WA WA WA TL,N/A,0.0
