name,city,number-score,number-verdict,number-max-time,sdiv-score,sdiv-verdict,sdiv-max-time,stories-score,stories-verdict,stories-max-time,score
DJS,Sofia,0.0,TL TL TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,25.0,WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA OK WA OK OK TL,N/A,25.0
NKN,Pleven,10.0,OK OK TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0
IMZ,Smolyan,10.0,TL TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL,N/A,10.0
DNT,Sofia,10.0,WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0,TL WA TL WA WA WA TL TL WA TL TL TL TL TL TL TL TL TL TL TL,N/A,10.0
ADD,Pernik,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
MMP,Pleven,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
MEC,Vraca,0.0,TL TL TL TL TL WA TL TL WA WA WA WA WA WA WA TL WA WA WA WA,N/A,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
AIV,Sofia,0.0,WA WA WA WA WA WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
HVH,Pleven,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,0.0
DPB,Ruse,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VAP,Sofia,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
